Table 5,,,,,,,,,,,,
Crime in the United States,,,,,,,,,,,,
"by State, 2012",, ,,,,,,,,,,
State,Area,,Population,"Violent
crime","Murder and
nonnegligent
manslaughter","Forcible
rape",Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft"
,,Estimated total,1,192,8,40,4,140,1340,348,892,100
,State Total,,833354,2682,25,585,158,1914,17168,3258,12845,1065
,,"Rate per 100,000 inhabitants",,322,3,70,19,230,2060,391,1541,128
TENNESSEE,Metropolitan Statistical Area,,4953032, ,,,,,,,,
,,Area actually reporting,1,35306,327,1701,7678,25600,175516,44094,120691,10731
,Cities outside metropolitan areas,,516983,,,,,,,,,
,,Area actually reporting,1,3261,17,185,360,2699,23311,5195,17271,845
,Nonmetropolitan counties,,986228,,,,,,,,,
,,Area actually reporting,1,2983,44,146,131,2662,18837,6892,10541,1404
,State Total,,6456243,41550,388,2032,8169,30961,217664,56181,148503,12980
,,"Rate per 100,000 inhabitants",,644,6,32,127,480,3371,870,2300,201
TEXAS,Metropolitan Statistical Area,,22993976,,,,,,,,,
,,Area actually reporting,1,97603,1016,6791,29625,60171,805325,184006,559621,61698
,,Estimated total,1,97633,1016,6794,29632,60191,805678,184076,559884,61718
,Cities outside metropolitan areas,,1427466,,,,,,,,,
,,Area actually reporting,1,5747,58,583,605,4501,45308,11193,32545,1570
,,Estimated total,1,5796,59,588,608,4541,45684,11288,32817,1579
,Nonmetropolitan counties,,1637761,,,,,,,,,
,,Area actually reporting,1,2995,68,323,140,2464,24276,9285,13321,1670
,,Estimated total,1,3047,69,329,142,2507,24697,9446,13552,1699
,State Total,,26059203,106476,1144,7711,30382,67239,876059,204810,606253,64996
,,"Rate per 100,000 inhabitants",,409,4,30,117,258,3362,786,2326,249
UTAH,Metropolitan Statistical Area,,2545653,,,,,,,,,
,,Area actually reporting,1,5226,36,833,1071,3286,78305,11682,60984,5639
,,Estimated total,1,5231,36,834,1072,3289,78406,11697,61064,5645
,Cities outside metropolitan areas,,135463,,,,,,,,,
,,Area actually reporting,1,297,9,53,19,216,3677,611,2913,153
,,Estimated total,1,322,10,57,21,234,3986,662,3158,166
,Nonmetropolitan counties,,174171,,,,,,,,,
,,Area actually reporting,1,310,4,50,7,249,2899,558,2161,180
,,Estimated total,1,323,4,52,7,260,3032,584,2260,188
,State Total,,2855287,5876,50,943,1100,3783,85424,12943,66482,5999
,,"Rate per 100,000 inhabitants",,206,2,33,39,133,2992,453,2328,210
VERMONT,Metropolitan Statistical Area,,212393,,,,,,,,,
,,Area actually reporting,1,344,1,45,51,247,6035,1374,4524,137
,Cities outside metropolitan areas,,205469,,,,,,,,,
,,Area actually reporting,1,359,3,50,47,259,5337,1125,4065,147
,,Estimated total,1,365,3,51,48,263,5417,1142,4126,149
,Nonmetropolitan counties,,208149,, ,,,,,,,
,,Area actually reporting,1,184,4,25,13,142,3564,1449,1966,149
,State Total,,626011,893,8,121,112,652,15016,3965,10616,435
,,"Rate per 100,000 inhabitants",,143,1,19,18,104,2399,633,1696,70
VIRGINIA,Metropolitan Statistical Area,,7105199,,,,,,,,,
,,Area actually reporting,1,13912,270,1247,4432,7963,157319,24903,124181,8235
,Cities outside metropolitan areas,,267746,,,,,,,,,
,,Area actually reporting,1,614,14,76,145,379,8592,1478,6852,262
,Nonmetropolitan counties,,812922,,,,,,,,,
,,Area actually reporting,1,1038,30,129,129,750,11074,3130,7365,579
,State Total,,8185867,15564,314,1452,4706,9092,176985,29511,138398,9076
,,"Rate per 100,000 inhabitants",,190,4,18,58,111,2162,361,1691,111
WASHINGTON,Metropolitan Statistical Area,,6179551,,,,,,,,,
,,Area actually reporting,1,18830,180,1927,5543,11180,231017,54547,151575,24895
,Cities outside metropolitan areas,,296203,,,,,,,,,
,,Area actually reporting,1,912,11,169,147,585,13080,3121,9084,875
,,Estimated total,1,934,11,173,151,599,13394,3196,9302,896
,Nonmetropolitan counties,,421258,,,,,,,,,
,,Area actually reporting,1,622,15,93,51,463,7922,2982,4329,611
,State Total,,6897012,20386,206,2193,5745,12242,252333,60725,165206,26402
,,"Rate per 100,000 inhabitants",,296,3,32,83,178,3659,881,2395,383
WEST VIRGINIA,Metropolitan Statistical Area,,1135886,,,,,,,,,
,,Area actually reporting,1,3725,43,280,668,2734,30063,7721,20890,1452
,,Estimated total,1,3929,44,295,698,2892,32190,8152,22506,1532
,Cities outside metropolitan areas,,190838,,,,,,,,,
,,Area actually reporting,1,582,6,32,61,483,3543,732,2717,94
,,Estimated total,1,748,8,41,78,621,4554,941,3492,121
,Nonmetropolitan counties,,528689,,,,,,,,,
,,Area actually reporting,1,1080,18,77,56,929,6469,1993,3972,504
,,Estimated total,1,1192,20,85,62,1025,7134,2198,4380,556
,State Total,,1855413,5869,72,421,838,4538,43878,11291,30378,2209
,,"Rate per 100,000 inhabitants",,316,4,23,45,245,2365,609,1637,119
WISCONSIN,Metropolitan Statistical Area,,4213426,,,,,,,,,
,,Area actually reporting,1,14089,162,950,4486,8491,110111,21625,81274,7212
,,Estimated total,1,14151,163,955,4503,8530,111286,21784,82261,7241
,Cities outside metropolitan areas,,636932,,,,,,,,,
,,Area actually reporting,1,1038,5,127,83,823,18047,2495,15133,419
,,Estimated total,1,1068,5,131,85,847,18581,2569,15581,431
,Nonmetropolitan counties,,876040,,,,,,,,,
,,Area actually reporting,1,822,5,129,33,655,10358,3495,6334,529
,,Estimated total,1,845,5,133,34,673,10646,3592,6510,544
,State Total,,5726398,16064,173,1219,4622,10050,140513,27945,104352,8216
,,"Rate per 100,000 inhabitants",,281,3,21,81,176,2454,488,1822,144
WYOMING,Metropolitan Statistical Area,,171501, ,,,,, ,,,
,,Area actually reporting,1,379,5,40,39,295,5062,899,3886,277
,Cities outside metropolitan areas,,242167,,,,,,,,,
,,Area actually reporting,1,567,8,93,12,454,6422,830,5375,217
,,Estimated total,1,586,8,96,12,470,6652,860,5567,225
,Nonmetropolitan counties,,162744,, ,, ,,,,,
,,Area actually reporting,1,182,1,17,9,155,1397,339,982,76
,,Estimated total,1,196,1,18,10,167,1508,366,1060,82
,State Total,,576412,1161,14,154,61,932,13222,2125,10513,584
,,"Rate per 100,000 inhabitants",,201,2,27,11,162,2294,369,1824,101
1 Includes offenses reported by the Zoological Police and the Metro Transit Police.,,,,,,,,,,,,
"2 The data collection methodology for the offense of forcible rape used by the Minnesota state Uniform Crime Reporting (UCR) Program (with the exception of Minneapolis and St. Paul, Minnesota) does not comply with national UCR Program guidelines.  Consequently, its figures for forcible rape and violent crime (of which forcible rape is a part) are not published in this table.",,,,,,,,,,,,
"3 Because of changes in the state/local agency's reporting practices, figures are not comparable to previous years' data.",,,,,,,,,,,,
"NOTE:  Although arson data are included in the trend and clearance tables, sufficient data are not available to estimate totals for this offense.  Therefore, no arson data are published in this table.",,,,,,,,,,,,
