Table 5,,,,,,,,,,,,,
Crime in the United States,,,,,,,,,,,,,
"by State, 2010",,,,,,,,,,,,,
State,Area,,Population,"Violent
crime","Murder and
nonnegligent
manslaughter","Forcible
rape",Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",
,Nonmetropolitan counties,,792740,,,,,,,,,,
,,Area actually reporting,1,4211,63,189,519,3440,27075,8547,16368,2160,
,State Total,,4625364,27648,280,1466,4982,20920,180407,46156,121054,13197,
,,"Rate per 100,000 inhabitants",,598,6,32,108,452,3900,998,2617,285,
SOUTH DAKOTA,Metropolitan Statistical Area,,382490, ,,,,,,,,,
,,Area actually reporting,1,1071,7,222,120,722,9286,1953,6904,429,
,,Estimated total,1,1086,7,225,120,734,9443,1988,7019,436,
,Cities outside metropolitan areas,,205213,,,,,,,,,,
,,Area actually reporting,1,840,7,122,25,686,4076,746,3068,262,
,,Estimated total,1,936,8,136,28,764,4542,831,3419,292,
,Nonmetropolitan counties,,226477,,,,,,,,,,
,,Area actually reporting,1,130,6,23,5,96,867,286,528,53,
,,Estimated total,1,164,8,29,6,121,1097,362,668,67,
,State Total,,814180,2186,23,390,154,1619,15082,3181,11106,795,
,,"Rate per 100,000 inhabitants",,269,3,48,19,199,1852,391,1364,98,
TENNESSEE,Metropolitan Statistical Area,,4671121, ,,,,,,,,,
,,Area actually reporting,1,32181,286,1763,7715,22417,180615,48939,119713,11963,
,Cities outside metropolitan areas,,614285,,,,,,,,,,
,,Area actually reporting,1,3681,27,203,486,2965,27889,6527,20222,1140,
,Nonmetropolitan counties,,1060699,,,,,,,,,,
,,Area actually reporting,1,3059,44,172,165,2678,23628,8769,13127,1732,
,State Total,,6346105,38921,357,2138,8366,28060,232132,64235,153062,14835,
,,"Rate per 100,000 inhabitants",,613,6,34,132,442,3658,1012,2412,234,
TEXAS,Metropolitan Statistical Area,,22153872,,,,,,,,,,
,,Area actually reporting,1,103798,1148,6687,31949,64014,877796,206229,606955,64612,
,,Estimated total,1,103914,1149,6698,31976,64091,879209,206519,607994,64696,
,Cities outside metropolitan areas,,1394578,,,,,,,,,,
,,Area actually reporting,1,6040,35,515,694,4796,47412,12370,33335,1707,
,,Estimated total,1,6060,35,517,695,4813,47559,12415,33436,1708,
,Nonmetropolitan counties,,1597111,,,,,,,,,,
,,Area actually reporting,1,3250,65,406,172,2607,24421,9641,13165,1615,
,,Estimated total,1,3257,65,407,172,2613,24478,9663,13196,1619,
,State Total,,25145561,113231,1249,7622,32843,71517,951246,228597,654626,68023,
,,"Rate per 100,000 inhabitants",,450,5,30,131,284,3783,909,2603,271,
UTAH,Metropolitan Statistical Area,,2463884,,,,,,,,,,
,,Area actually reporting,1,5438,46,857,1246,3289,81528,13644,62207,5677,
,,Estimated total,1,5438,46,857,1246,3289,81540,13646,62216,5678,
,Cities outside metropolitan areas,,148476,,,,,,,,,,
,,Area actually reporting,1,246,5,55,17,169,3746,672,2927,147,
,,Estimated total,1,279,6,62,19,192,4247,762,3318,167,
,Nonmetropolitan counties,,151525,,,,,,,,,,
,,Area actually reporting,1,144,1,26,3,114,1849,538,1219,92,
,,Estimated total,1,162,1,29,3,129,2093,609,1380,104,
,State Total,,2763885,5879,53,948,1268,3610,87880,15017,66914,5949,
,,"Rate per 100,000 inhabitants",,213,2,34,46,131,3180,543,2421,215,
VERMONT,Metropolitan Statistical Area,,209845,,,,,,,,,,
,,Area actually reporting,1,312,2,49,39,222,5926,1055,4696,175,
,Cities outside metropolitan areas,,205894,,,,,,,,,,
,,Area actually reporting,1,338,0,44,32,262,4902,951,3836,115,
,,Estimated total,1,349,0,45,33,271,5067,983,3965,119,
,Nonmetropolitan counties,,210002,, ,,,,,,,,
,,Area actually reporting,1,151,5,37,2,107,3224,1302,1778,144,
,,Estimated total,1,154,5,38,2,109,3288,1328,1813,147,
,State Total,,625741,815,7,132,74,602,14281,3366,10474,441,
,,"Rate per 100,000 inhabitants",,130,1,21,12,96,2282,538,1674,71,
VIRGINIA,Metropolitan Statistical Area,,6881309,,,,,,,,,,
,,Area actually reporting,1,15474,315,1299,5395,8465,167152,26536,131063,9553,
,Cities outside metropolitan areas,,273315,,,,,,,,,,
,,Area actually reporting,1,624,14,83,144,383,8018,1155,6624,239,
,Nonmetropolitan counties,,846400,,,,,,,,,,
,,Area actually reporting,1,989,40,150,118,681,11026,2938,7332,756,
,State Total,,8001024,17087,369,1532,5657,9529,186196,30629,145019,10548,
,,"Rate per 100,000 inhabitants",,214,5,19,71,119,2327,383,1813,132,
WASHINGTON,Metropolitan Statistical Area,,5904442,,,,,,,,,,
,,Area actually reporting,1,19171,134,2223,5626,11188,221822,47788,150317,23717,
,,Estimated total,1,19173,134,2223,5627,11189,221862,47795,150346,23721,
,Cities outside metropolitan areas,,335901,,,,,,,,,,
,,Area actually reporting,1,1247,4,217,215,811,16829,3625,12113,1091,
,,Estimated total,1,1270,4,221,219,826,17139,3692,12336,1111,
,Nonmetropolitan counties,,484197,,,,,,,,,,
,,Area actually reporting,1,658,14,118,83,443,10252,3677,5678,897,
,State Total,,6724540,21101,152,2562,5929,12458,249253,55164,168360,25729,
,,"Rate per 100,000 inhabitants",,314,2,38,88,185,3707,820,2504,383,
WEST VIRGINIA,Metropolitan Statistical Area,,1034548,,,,,,,,,,
,,Area actually reporting,1,3342,30,213,556,2543,24407,6275,16713,1419,
,,Estimated total,1,3566,32,227,581,2726,26450,6725,18203,1522,
,Cities outside metropolitan areas,,223928,,,,,,,,,,
,,Area actually reporting,1,727,9,39,114,565,5497,1125,4203,169,
,,Estimated total,1,932,12,50,146,724,7043,1441,5385,217,
,Nonmetropolitan counties,,594518,,,,,,,,,,
,,Area actually reporting,1,1235,17,71,94,1053,7419,2400,4443,576,
,,Estimated total,1,1332,18,77,101,1136,8007,2590,4795,622,
,State Total,,1852994,5830,62,354,828,4586,41500,10756,28383,2361,
,,"Rate per 100,000 inhabitants",,315,3,19,45,248,2240,581,1532,127,
WISCONSIN,Metropolitan Statistical Area,,4162487,,,,,,,,,,
,,Area actually reporting,1,12205,139,907,4389,6770,112702,20423,85114,7165,
,,Estimated total,1,12205,139,907,4389,6770,112705,20423,85117,7165,
,Cities outside metropolitan areas,,625718,,,,,,,,,,
,,Area actually reporting,1,1141,7,146,91,897,18939,2621,15890,428,
,,Estimated total,1,1171,7,150,93,921,19436,2690,16307,439,
,Nonmetropolitan counties,,898781,,,,,,,,,,
,,Area actually reporting,1,757,9,128,22,598,10341,3410,6404,527,
,,Estimated total,1,766,9,130,22,605,10471,3453,6484,534,
,State Total,,5686986,14142,155,1187,4504,8296,142612,26566,107908,8138,
,,"Rate per 100,000 inhabitants",,249,3,21,79,146,2508,467,1898,143,
WYOMING,Metropolitan Statistical Area,,169109, ,,,,, ,,,,
,,Area actually reporting,1,328,3,51,47,227,5637,849,4534,254,
,Cities outside metropolitan areas,,237483,,,,,,,,,,
,,Area actually reporting,1,578,4,87,20,467,6456,895,5322,239,
,,Estimated total,1,589,4,89,20,476,6581,912,5425,244,
,Nonmetropolitan counties,,157034,, ,, ,,,,,,
,,Area actually reporting,1,187,1,24,9,153,1656,388,1175,93,
,State Total,,563626,1104,8,164,76,856,13874,2149,11134,591,
,,"Rate per 100,000 inhabitants",,196,1,29,14,152,2462,381,1975,105,
1 Includes offenses reported by the Zoological Police and the Metro Transit Police.,,,,,,,,,,,,,
"2 Because of changes in the state's reporting practices, figures are not comparable to previous years' data.",,,,,,,,,,,,,
"3 The data collection methodology for the offense of forcible rape used by the Minnesota state Uniform Crime Reporting (UCR) Program (with the exception of Minneapolis and St. Paul, Minnesota) does not comply with national UCR Program guidelines.  Consequently, its figures for forcible rape and violent crime (of which forcible rape is a part) are not published in this table.",,,,,,,,,,,,,
"NOTE:  Although arson data are included in the trend and clearance tables, sufficient data are not available to estimate totals for this offense.  Therefore, no arson data are published in this table.",,,,,,,,,,,,,
