Table 5,,,,,,,,,,,,,
Crime in the United States,,,, ,,,,,,,,,
"by State, 2014",,,,,,,, ,,,,,
State,Area,,Population,Violent crime1,"Murder and 
nonnegligent 
manslaughter","Rape
(revised
definition)2","Rape
(legacy
definition)3",Robbery,"Aggravated 
assault","Property 
crime",Burglary,"Larceny-
theft","Motor 
vehicle 
theft"
RHODE ISLAND5,Metropolitan Statistical Area,,1055173,,,,,,,,,,
,,Area actually reporting,1,2287,25,341,247,528,1393,22874,4823,16253,1798
,Cities outside metropolitan areas,,None,,,,,,,,,,
,Nonmetropolitan counties,,None,,,,,,,,,,
,,Area actually reporting,1,26,0,20,6,1,5,61,0,26,35
,State Total,,1055173,2313,25,361,253,529,1398,22935,4823,16279,1833
,,"Rate per 100,000 inhabitants",,219,2,34,24,50,133,2174,457,1543,174
SOUTH CAROLINA4,Metropolitan Statistical Area,,4078154,,,,,,, ,,,
,,Area actually reporting,1,19644,252,1716,1225,3423,14253,138237,29121,98137,10979
,,Estimated total,1,19942,255,1740,1242,3467,14480,140229,29590,99497,11142
,Cities outside metropolitan areas,,208220,,,,,,,,,,
,,Area actually reporting,1,1677,19,104,81,307,1247,11294,2433,8363,498
,,Estimated total,1,1751,20,107,84,321,1303,11797,2541,8736,520
,Nonmetropolitan counties,,546108,,,,,,,,,,
,,Area actually reporting,1,2359,36,221,154,209,1893,15191,4590,9361,1240
,State Total,,4832482,24052,311,2068,1480,3997,17676,167217,36721,117594,12902
,,"Rate per 100,000 inhabitants",,498,6,43,31,83,366,3460,760,2433,267
SOUTH DAKOTA4,Metropolitan Statistical Area,,405686, ,,,,,,,,,
,,Area actually reporting,1,1374,9,259,238,150,956,9265,1663,6981,621
,,Estimated total,1,1376,9,259,238,150,958,9285,1667,6996,622
,Cities outside metropolitan areas,,218451,,,,,,,,,,
,,Area actually reporting,1,1168,6,163,139,43,956,5171,832,4032,307
,,Estimated total,1,1220,6,171,146,45,998,5396,868,4208,320
,Nonmetropolitan counties,,229038,,,,,,,,,,
,,Area actually reporting,1,144,4,27,22,4,109,953,221,681,51
,,Estimated total,1,190,5,40,29,5,140,1221,283,873,65
,State Total,,853175,2786,20,470,413,200,2096,15902,2818,12077,1007
,,"Rate per 100,000 inhabitants",,327,2,55,48,23,246,1864,330,1416,118
TENNESSEE4,Metropolitan Statistical Area,,5053537, ,,,,,,,,,
,,Area actually reporting,1,33938,319,2154,1575,6823,24642,162661,36810,115487,10364
,,Estimated total,1,34046,320,2164,1582,6837,24725,163447,36930,116117,10400
,Cities outside metropolitan areas,,516197,,,,,,,,,,
,,Area actually reporting,1,3203,21,183,144,312,2687,21421,4146,16367,908
,Nonmetropolitan counties,,979618,,,,,,,,,,
,,Area actually reporting,1,2599,30,184,135,116,2269,15579,5566,8722,1291
,State Total,,6549352,39848,371,2531,1861,7265,29681,200447,46642,141206,12599
,,"Rate per 100,000 inhabitants",,608,6,39,28,111,453,3061,712,2156,192
TEXAS4,Metropolitan Statistical Area,,23907066,,,,,,,,,,
,,Area actually reporting,1,100224,1079,10227,7407,30369,58549,745490,149988,530355,65147
,,Estimated total,1,100400,1080,10252,7428,30409,58659,746997,150305,531426,65266
,Cities outside metropolitan areas,,1421341,,,,,,,,,,
,,Area actually reporting,1,5676,50,603,438,609,4414,43056,10053,31360,1643
,,Estimated total,1,5832,51,623,456,624,4534,44192,10320,32187,1685
,Nonmetropolitan counties,,1628551,,,,,,,,,,
,,Area actually reporting,1,3117,52,502,342,145,2418,22326,8450,12310,1566
,,Estimated total,1,3182,53,518,352,148,2463,22745,8609,12541,1595
,State Total,,26956958,109414,1184,11393,8236,31181,65656,813934,169234,576154,68546
,,"Rate per 100,000 inhabitants",,406,4,42,31,116,244,3019,628,2137,254
UTAH5,Metropolitan Statistical Area,,2627376,,,,,,,,,,
,,Area actually reporting,1,5739,54,1290,839,1287,3108,78386,10465,61010,6911
,,Estimated total,1,5749,54,1292,841,1289,3114,78558,10488,61145,6925
,Cities outside metropolitan areas,,140374,,,,,,,,,,
,,Area actually reporting,1,287,1,100,63,13,173,3526,559,2808,159
,,Estimated total,1,300,1,105,67,14,180,3678,583,2929,166
,Nonmetropolitan counties,,175152,,,,,,,,,,
,,Area actually reporting,1,290,12,55,36,9,214,2414,436,1776,202
,,Estimated total,1,297,12,57,37,9,219,2475,447,1821,207
,State Total,,2942902,6346,67,1454,945,1312,3513,84711,11518,65895,7298
,,"Rate per 100,000 inhabitants",,216,2,49,32,45,119,2879,391,2239,248
VERMONT4,Metropolitan Statistical Area,,215526,,,,,,,,,,
,,Area actually reporting,1,214,2,22,20,24,166,4265,725,3427,113
,Cities outside metropolitan areas,,207162,,,,,,,,,,
,,Area actually reporting,1,260,1,47,41,38,174,3536,626,2852,58
,,Estimated total,1,260,1,47,41,38,174,3541,627,2856,58
,Nonmetropolitan counties,,203874,, ,,,,,,,,
,,Area actually reporting,1,148,7,41,38,8,92,1745,682,990,73
,State Total,,626562,622,10,110,99,70,432,9551,2034,7273,244
,,"Rate per 100,000 inhabitants",,99,2,18,16,11,69,1524,325,1161,39
VIRGINIA4,Metropolitan Statistical Area,,7266550,,,,,,,,,,
,,Area actually reporting,1,14412,284,1880,1206,4039,8209,143762,19725,117178,6859
,,Estimated total,1,14413,284,1880,1206,4039,8210,143779,19727,117192,6860
,Cities outside metropolitan areas,,264412,,,,,,,,,,
,,Area actually reporting,1,694,15,113,65,144,422,7385,1130,6060,195
,,Estimated total,1,702,15,113,65,146,428,7484,1145,6141,198
,Nonmetropolitan counties,,795327,,,,,,,,,,
,,Area actually reporting,1,1225,39,317,161,107,762,9457,2250,6600,607
,State Total,,8326289,16340,338,2310,1432,4292,9400,160720,23122,129933,7665
,,"Rate per 100,000 inhabitants",,196,4,28,17,52,113,1930,278,1561,92
WASHINGTON5,Metropolitan Statistical Area,,6347580,,,,,,,,,,
,,Area actually reporting,1,18604,159,2438,1954,5439,10568,241803,49672,163026,29105
,,Estimated total,1,18611,159,2439,1955,5441,10572,241934,49694,163120,29120
,Cities outside metropolitan areas,,294301,,,,,,,,,,
,,Area actually reporting,1,944,7,170,144,148,619,12503,2897,8665,941
,,Estimated total,1,966,7,173,147,152,634,12803,2966,8873,964
,Nonmetropolitan counties,,419649,,,,,,,,,,
,,Area actually reporting,1,559,8,83,69,47,421,6969,2630,3776,563
,State Total,,7061530,20136,174,2695,2171,5640,11627,261706,55290,175769,30647
,,"Rate per 100,000 inhabitants",,285,3,38,31,80,165,3706,783,2489,434
WEST VIRGINIA4,Metropolitan Statistical Area,,1138730,,,,,,,,,,
,,Area actually reporting,1,3310,44,333,175,530,2403,26935,6481,19081,1373
,,Estimated total,1,3526,46,348,187,560,2572,29155,6857,20830,1468
,Cities outside metropolitan areas,,190438,,,,,,,,,,
,,Area actually reporting,1,425,6,29,22,29,361,2211,385,1764,62
,,Estimated total,1,721,10,41,33,50,620,3801,662,3032,107
,Nonmetropolitan counties,,521158,,,,,,,,,,
,,Area actually reporting,1,1197,16,99,54,37,1045,4205,1303,2614,288
,,Estimated total,1,1341,18,116,65,41,1166,4692,1454,2917,321
,State Total,,1850326,5588,74,505,285,651,4358,37648,8973,26779,1896
,,"Rate per 100,000 inhabitants",,302,4,27,15,35,236,2035,485,1447,103
WISCONSIN5,Metropolitan Statistical Area,,4251567,,,,,,,,,,
,,Area actually reporting,1,14725,142,1232,851,4918,8433,95066,16637,69341,9088
,,Estimated total,1,14890,143,1259,872,4961,8527,97688,16979,71524,9185
,Cities outside metropolitan areas,,637105,,,,,,,,,,
,,Area actually reporting,1,1019,11,214,163,73,721,14099,1715,12054,330
,,Estimated total,1,1072,12,226,172,77,757,14813,1802,12664,347
,Nonmetropolitan counties,,868892,,,,,,,,,,
,,Area actually reporting,1,752,10,189,124,28,525,7737,2435,4915,387
,State Total,,5757564,16714,165,1674,1168,5066,9809,120238,21216,89103,9919
,,"Rate per 100,000 inhabitants",,290,3,29,20,88,170,2088,369,1548,172
WYOMING4,Metropolitan Statistical Area,,178196, ,,,,,, ,,,
,,Area actually reporting,1,305,6,37,25,30,232,4292,733,3356,203
,Cities outside metropolitan areas,,246602,,,,,,,,,,
,,Area actually reporting,1,580,6,80,61,18,476,5806,707,4816,283
,,Estimated total,1,594,6,81,62,18,489,5962,726,4945,291
,Nonmetropolitan counties,,159355,, ,,, ,,,,,
,,Area actually reporting,1,222,4,50,35,5,163,1123,211,812,100
,,Estimated total,1,243,4,56,39,5,178,1223,230,884,109
,State Total,,584153,1142,16,174,126,53,899,11477,1689,9185,603
,,"Rate per 100,000 inhabitants",,196,3,30,22,9,154,1965,289,1572,103
"1  The violent crime figures include the offenses of murder, rape (revised definition), robbery, and aggravated assault.",,,,,,,,,,,,,
2 The figures shown in the rape (revised definition) column were estimated using the revised Uniform Crime Reporting (UCR) definition of rape.  See data declaration for further explanation.,,,,,,,,,,,,,
3 The figures shown in the rape (legacy definition) column were estimated using the legacy UCR definition of rape.  See data declaration for further explanation.,,,,,,,,,,,,,
4  This state's agencies submitted rape data according to the revised UCR definition of rape.  ,,,,,,,,,,,,,
5  Agencies within this state submitted rape data according to both the revised UCR definition of rape and the legacy UCR definition of rape.  ,,,,,,,,,,,,,
6  Includes offenses reported by the Metro Transit Police and the Arson Investigation Unit of the District of Columbia Fire and Emergency Medical Services.,,,,,,,,,,,,,
"7  Because of changes in the state/local agency's reporting practices, figures are not comparable to previous years' data.",,,,,,,,,,,,,
"NOTE:  Although arson data are included in the trend and clearance tables, sufficient data are not available to estimate totals for this offense.  Therefore, no arson data are published in this table.",,,,,,,,,,,,,
