Table 5,,,,,,,,,,,,,
Crime in the United States,,,,,,,,,,,,,
"by State, 2015",,,,,,,, ,,,,,
State,Area,,Population,"Violent
crime1","Murder and 
nonnegligent 
manslaughter","Rape
(revised
definition)2 ","Rape
(legacy
definition)3",Robbery,"Aggravated 
assault","Property 
crime",Burglary,"Larceny-
theft","Motor 
vehicle 
theft"
,,Area actually reporting,1,2537,28,444,331,555,1510,19976,3944,14659,1373
,Cities outside metropolitan areas,,None,,,,,,,,,,
,Nonmetropolitan counties,,None,,,,,,,,,,
,,Area actually reporting,1,25,1,15,7,1,8,67,3,48,16
,State Total,,1056298,2562,29,459,338,556,1518,20043,3947,14707,1389
,,"Rate per 100,000 inhabitants",,243,3,44,32,53,144,1898,374,1392,132
SOUTH CAROLINA,Metropolitan Statistical Area,,4145678,,,,,,, ,,,
,,Area actually reporting,1,20072,331,1881,1414,3338,14522,133964,27404,95276,11284
,,Estimated total,1,20336,335,1908,1434,3374,14719,135587,27788,96369,11430
,Cities outside metropolitan areas,,207146,,,,,,,,,,
,,Area actually reporting,1,1799,26,135,98,326,1312,10889,2281,8175,433
,,Estimated total,1,1923,28,143,105,349,1403,11643,2439,8741,463
,Nonmetropolitan counties,,543322,,,,,,,,,,
,,Area actually reporting,1,2421,36,244,167,206,1935,13898,4288,8542,1068
,,Estimated total,1,2441,36,246,168,208,1951,14015,4324,8614,1077
,State Total,,4896146,24700,399,2297,1707,3931,18073,161245,34551,113724,12970
,,"Rate per 100,000 inhabitants",,505,8,47,35,80,369,3293,706,2323,265
SOUTH DAKOTA,Metropolitan Statistical Area,,412368, ,,,,,,,,,
,,Area actually reporting,1,1626,12,303,275,165,1146,10205,1897,7545,763
,,Estimated total,1,1628,12,303,275,165,1148,10224,1900,7560,764
,Cities outside metropolitan areas,,219563,,,,,,,,,,
,,Area actually reporting,1,1391,7,160,138,40,1184,5239,745,4186,308
,,Estimated total,1,1451,7,167,144,42,1235,5465,777,4367,321
,Nonmetropolitan counties,,226538,,,,,,,,,,
,,Area actually reporting,1,158,10,18,18,7,123,750,214,458,78
,,Estimated total,1,210,13,25,22,9,163,991,283,605,103
,State Total,,858469,3289,32,495,441,216,2546,16680,2960,12532,1188
,,"Rate per 100,000 inhabitants",,383,4,58,51,25,297,1943,345,1460,138
TENNESSEE,Metropolitan Statistical Area,,5103420, ,,,,,,,,,
,,Area actually reporting,1,34397,351,2260,1659,7078,24708,158863,34790,113624,10449
,Cities outside metropolitan areas,,513845,,,,,,,,,,
,,Area actually reporting,1,3364,16,253,183,295,2800,20823,3809,16006,1008
,Nonmetropolitan counties,,983034,,,,,,,,,,
,,Area actually reporting,1,2639,39,163,124,101,2336,14110,4648,8049,1413
,State Total,,6600299,40400,406,2676,1966,7474,29844,193796,43247,137679,12870
,,"Rate per 100,000 inhabitants",,612,6,41,30,113,452,2936,655,2086,195
TEXAS,Metropolitan Statistical Area,,24422501,,,,,,,,,,
,,Area actually reporting,1,104453,1207,11040,8068,31163,61043,714288,136056,514139,64093
,,Estimated total,1,104564,1207,11055,8081,31189,61113,715398,136238,514990,64170
,Cities outside metropolitan areas,,1425757,,,,,,,,,,
,,Area actually reporting,1,5528,43,657,472,602,4226,41169,9231,30193,1745
,,Estimated total,1,5687,44,679,492,617,4347,42301,9488,31023,1790
,Nonmetropolitan counties,,1620856,,,,,,,,,,
,,Area actually reporting,1,2958,65,512,350,127,2254,19923,7285,11122,1516
,,Estimated total,1,2976,65,516,352,128,2267,20040,7328,11187,1525
,State Total,,27469114,113227,1316,12250,8925,31934,67727,777739,153054,557200,67485
,,"Rate per 100,000 inhabitants",,412,5,45,33,116,247,2831,557,2029,246
UTAH6,Metropolitan Statistical Area,,2675737,,,,,,,,,,
,,Area actually reporting,1,6295,49,1448,969,1292,3506,82075,11283,62574,8218
,,Estimated total,1,6357,49,1462,980,1303,3543,82969,11414,63248,8307
,Cities outside metropolitan areas,,144887,,,,,,,,,,
,,Area actually reporting,1,337,1,95,50,12,229,3411,519,2714,178
,,Estimated total,1,354,1,100,54,13,240,3573,544,2843,186
,Nonmetropolitan counties,,175295,,,,,,,,,,
,,Area actually reporting,1,346,4,79,61,10,253,2628,490,1932,206
,,Estimated total,1,360,4,83,64,10,263,2736,510,2012,214
,State Total,,2995919,7071,54,1645,1098,1326,4046,89278,12468,68103,8707
,,"Rate per 100,000 inhabitants",,236,2,55,37,44,135,2980,416,2273,291
VERMONT,Metropolitan Statistical Area,,217090,,,,,,,,,,
,,Area actually reporting,1,279,2,50,48,47,180,4245,815,3396,34
,Cities outside metropolitan areas,,203524,,,,,,,,,,
,,Area actually reporting,1,307,5,48,44,42,212,2873,504,2312,57
,Nonmetropolitan counties,,205428,, ,,,,,,,,
,,Area actually reporting,1,153,3,38,29,12,100,1688,649,952,87
,State Total,,626042,739,10,136,121,101,492,8806,1968,6660,178
,,"Rate per 100,000 inhabitants",,118,2,22,19,16,79,1407,314,1064,28
VIRGINIA,Metropolitan Statistical Area,,7333021,,,,,,,,,,
,,Area actually reporting,1,14490,328,1920,1252,4194,8048,139834,18121,114372,7341
,,Estimated total,1,14491,328,1920,1252,4194,8049,139851,18123,114386,7342
,Cities outside metropolitan areas,,262020,,,,,,,,,,
,,Area actually reporting,1,721,19,115,72,139,448,7585,1032,6342,211
,,Estimated total,1,726,19,115,72,140,452,7646,1040,6393,213
,Nonmetropolitan counties,,787952,,,,,,,,,,
,,Area actually reporting,1,1182,36,305,169,107,734,8973,2177,6240,556
,State Total,,8382993,16399,383,2340,1493,4441,9235,156470,21340,127019,8111
,,"Rate per 100,000 inhabitants",,196,5,28,18,53,110,1867,255,1515,97
WASHINGTON6,Metropolitan Statistical Area,,6452326,,,,,,,,,,
,,Area actually reporting,1,18899,197,2438,1965,5234,11030,229294,45974,157899,25421
,,Estimated total,1,18899,197,2438,1965,5234,11030,229304,45976,157906,25422
,Cities outside metropolitan areas,,296377,,,,,,,,,,
,,Area actually reporting,1,922,6,173,151,165,578,12260,2524,8829,907
,,Estimated total,1,942,6,176,154,169,591,12541,2582,9031,928
,Nonmetropolitan counties,,421648,,,,,,,,,,
,,Area actually reporting,1,553,8,91,74,46,408,6524,2435,3572,517
,State Total,,7170351,20394,211,2705,2193,5449,12029,248369,50993,170509,26867
,,"Rate per 100,000 inhabitants",,284,3,38,31,76,168,3464,711,2378,375
WEST VIRGINIA,Metropolitan Statistical Area,,1136862,,,,,,,,,,
,,Area actually reporting,1,3557,45,402,245,625,2485,25404,6476,17423,1505
,,Estimated total,1,3887,47,433,269,667,2740,28418,7019,19731,1668
,Cities outside metropolitan areas,,189216,,,,,,,,,,
,,Area actually reporting,1,280,4,23,18,28,225,1619,264,1285,70
,,Estimated total,1,519,8,33,26,53,425,3056,498,2426,132
,Nonmetropolitan counties,,518050,,,,,,,,,,
,,Area actually reporting,1,1325,11,142,83,29,1143,4223,1208,2694,321
,,Estimated total,1,1825,15,206,125,40,1564,5777,1653,3685,439
,State Total,,1844128,6231,70,672,420,760,4729,37251,9170,25842,2239
,,"Rate per 100,000 inhabitants",,338,4,36,23,41,256,2020,497,1401,121
WISCONSIN6,Metropolitan Statistical Area,,4268682,,,,,,,,,,
,,Area actually reporting,1,15597,207,1368,923,5087,8935,88714,15012,63592,10110
,,Estimated total,1,15770,209,1396,945,5131,9034,91251,15314,65713,10224
,Cities outside metropolitan areas,,639613,,,,,,,,,,
,,Area actually reporting,1,1015,9,189,141,79,738,14140,1732,12065,343
,,Estimated total,1,1082,10,201,150,84,787,15070,1846,12858,366
,Nonmetropolitan counties,,863042,,,,,,,,,,
,,Area actually reporting,1,795,21,183,129,17,574,7603,2394,4814,395
,State Total,,5771337,17647,240,1780,1224,5232,10395,113924,19554,83385,10985
,,"Rate per 100,000 inhabitants",,306,4,31,21,91,180,1974,339,1445,190
WYOMING,Metropolitan Statistical Area,,179738, ,,,,,, ,,,
,,Area actually reporting,1,366,8,50,36,31,277,4584,763,3579,242
,Cities outside metropolitan areas,,245549,,,,,,,,,,
,,Area actually reporting,1,629,5,82,62,24,518,5255,693,4313,249
,,Estimated total,1,649,5,83,63,25,536,5434,717,4460,257
,Nonmetropolitan counties,,160820,, ,,, ,,,,,
,,Area actually reporting,1,262,3,35,23,3,221,1038,258,695,85
,,Estimated total,1,287,3,40,26,3,241,1133,282,758,93
,State Total,,586107,1302,16,173,125,59,1054,11151,1762,8797,592
,,"Rate per 100,000 inhabitants",,222,3,30,21,10,180,1903,301,1501,101
"1  The violent crime figures include the offenses of murder, rape (revised definition), robbery, and aggravated assault.",,,,,,,,,,,,,
2 The figures shown in the rape (revised definition) column were estimated using the revised Uniform Crime Reporting (UCR) definition of rape. See data declaration for further explanation.,,,,,,,,,,,,,
3 The figures shown in the rape (legacy definition) column were estimated using the legacy UCR definition of rape. See data declaration for further explanation.,,,,,,,,,,,,,
4  Includes offenses reported by the Metro Transit Police and the Arson Investigation Unit of the District of Columbia Fire and Emergency Medical Services.,,,,,,,,,,,,,
5  This state's agencies submitted rape data according to the legacy UCR definition of rape.  ,,,,,,,,,,,,,
6  Agencies within this state submitted rape data according to both the revised UCR definition of rape and the legacy UCR definition of rape.  ,,,,,,,,,,,,,
7  The figures submitted by Puerto Rico for rape were not verified and may not be comparable to previous years' data.,,,,,,,,,,,,,
"NOTE:  Although arson data are included in the trend and clearance tables, sufficient data are not available to estimate totals for this offense. Therefore, no arson data are published in this table.",,,,,,,,,,,,,
