Table 5,,,,,,,,,,,,,
Crime in the United States,, ,,,,,,,,,,,
"by State, 2013",,,,,,,, ,,,,,
State,Area,,Population,"Violent
crime1","Murder and
nonnegligent
manslaughter","Rape
(revised
definition)2","Rape
(legacy
definition)3",Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft"
,,Area actually reporting,1,27,0,15,10,0,12,56,1,29,26
,State Total,,1051511,2705,31,440,307,684,1550,25678,5607,17838,2233
,,"Rate per 100,000 inhabitants",,257,3,42,29,65,147,2442,533,1696,212
SOUTH CAROLINA4,Metropolitan Statistical Area,,4017846,,,,,,, ,,,
,,Area actually reporting,1,,209,1795,,3440,14455,144541,32985,100739,10817
,,Estimated total,1,19941,209,1797,1256,3447,14488,144952,33057,101059,10836
,Cities outside metropolitan areas,,208133,,,,,,,,,,
,,Area actually reporting,1,,37,151,,323,1400,11953,2796,8710,447
,,Estimated total,1,1954,38,154,108,330,1432,12223,2859,8907,457
,Nonmetropolitan counties,,548860,,,,,,,,,,
,,Area actually reporting,1,2383,50,220,154,195,1918,15874,5042,9545,1287
,State Total,,4774839,24278,297,2171,1518,3972,17838,173049,40958,119511,12580
,,"Rate per 100,000 inhabitants",,509,6,46,32,83,374,3624,858,2503,264
SOUTH DAKOTA4,Metropolitan Statistical Area,,397651, ,,,,,,,,,
,,Area actually reporting,1,,5,267,,119,838,9269,1971,6789,509
,,Estimated total,1,1232,5,268,194,119,840,9304,1979,6814,511
,Cities outside metropolitan areas,,216179,,,,,,,,,,
,,Area actually reporting,1,,7,195,,29,977,5395,1005,4060,330
,,Estimated total,1,1260,7,203,135,30,1020,5633,1049,4239,345
,Nonmetropolitan counties,,231047,,,,,,,,,,
,,Area actually reporting,1,,6,22,,8,106,967,268,635,64
,,Estimated total,1,182,8,28,20,10,136,1240,344,814,82
,State Total,,844877,2674,20,499,349,159,1996,16177,3372,11867,938
,,"Rate per 100,000 inhabitants",,317,2,59,41,19,236,1915,399,1405,111
TENNESSEE4,Metropolitan Statistical Area,,5003806, ,,,,,,,,,
,,Area actually reporting,1,,274,1989,,6854,23330,166628,39978,117086,9564
,,Estimated total,1,32551,275,1997,1395,6867,23412,167463,40121,117744,9598
,Cities outside metropolitan areas,,514169,,,,,,,,,,
,,Area actually reporting,1,3154,17,189,132,331,2617,22248,4697,16671,880
,Nonmetropolitan counties,,978003,,,,,,,,,,
,,Area actually reporting,1,2659,36,165,115,109,2349,16918,6181,9387,1350
,State Total,,6495978,38364,328,2351,1642,7307,28378,206629,50999,143802,11828
,,"Rate per 100,000 inhabitants",,591,5,36,25,113,437,3181,785,2214,182
TEXAS5,Metropolitan Statistical Area,,23409495,,,,,,,,,,
,,Area actually reporting,1,,1037,,6616,31004,58295,789124,169961,556848,62315
,,Estimated total,1,99065,1037,8669,6624,31020,58339,789928,170112,557452,62364
,Cities outside metropolitan areas,,1415777,,,,,,,,,,
,,Area actually reporting,1,,50,,521,625,4394,46171,11056,33426,1689
,,Estimated total,1,5852,51,663,534,637,4501,47274,11325,34222,1727
,Nonmetropolitan counties,,1622921,,,,,,,,,,
,,Area actually reporting,1,,50,,339,141,2406,24073,9284,13166,1623
,,Estimated total,1,3081,51,434,346,144,2452,24532,9461,13417,1654
,State Total,,26448193,107998,1139,9766,7504,31801,65292,861734,190898,605091,65745
,,"Rate per 100,000 inhabitants",,408,4,37,28,120,247,3258,722,2288,249
UTAH5,Metropolitan Statistical Area,,2588821,,,,,,,,,,
,,Area actually reporting,1,,37,1242,,1213,3270,79055,12209,59737,7109
,,Estimated total,1,5772,37,1244,879,1215,3276,79240,12237,59879,7124
,Cities outside metropolitan areas,,136929,,,,,,,,,,
,,Area actually reporting,1,,4,128,,9,229,3537,544,2837,156
,,Estimated total,1,385,4,133,86,9,239,3693,568,2962,163
,Nonmetropolitan counties,,175122,,,,,,,,,,
,,Area actually reporting,1,,8,44,,18,261,2576,513,1890,173
,,Estimated total,1,341,8,45,29,19,269,2653,528,1947,178
,State Total,,2900872,6498,49,1422,994,1243,3784,85586,13333,64788,7465
,,"Rate per 100,000 inhabitants",,224,2,49,34,43,130,2950,460,2233,257
VERMONT4,Metropolitan Statistical Area,,214620,,,,,,,,,,
,,Area actually reporting,1,257,3,40,28,31,183,5389,961,4351,77
,Cities outside metropolitan areas,,206762,,,,,,,,,,
,,Area actually reporting,1,,1,49,,29,255,5405,1099,4154,152
,,Estimated total,1,334,1,49,34,29,255,5411,1100,4159,152
,Nonmetropolitan counties,,205248,, ,,,,,,,,
,,Area actually reporting,1,168,6,41,29,13,108,3075,1252,1718,105
,State Total,,626630,759,10,130,91,73,546,13875,3313,10228,334
,,"Rate per 100,000 inhabitants",,121,2,21,15,12,87,2214,529,1632,53
VIRGINIA4,Metropolitan Statistical Area,,7195364,,,,,,,,,,
,,Area actually reporting,1,,271,1887,,4311,7979,151579,22448,121447,7684
,,Estimated total,1,14453,271,1888,1319,4312,7982,151640,22456,121497,7687
,Cities outside metropolitan areas,,264175,,,,,,,,,,
,,Area actually reporting,1,653,9,107,75,153,384,8260,1354,6645,261
,Nonmetropolitan counties,,800866,,,,,,,,,,
,,Area actually reporting,1,1099,36,267,187,100,696,10754,2830,7336,588
,State Total,,8260405,16205,316,2262,1581,4565,9062,170654,26640,135478,8536
,,"Rate per 100,000 inhabitants",,196,4,27,19,55,110,2066,323,1640,103
"WASHINGTON5,6",Metropolitan Statistical Area,,6256806,,,,,,,,,,
,,Area actually reporting,1,18654,139,2322,1611,5615,10578,237420,52137,158431,26852
,Cities outside metropolitan areas,,294834,,,,,,,,,,
,,Area actually reporting,1,,10,146,,164,606,13153,3166,9051,936
,,Estimated total,1,939,10,148,109,166,615,13345,3212,9183,950
,Nonmetropolitan counties,,419766,,,,,,,,,,
,,Area actually reporting,1,560,11,103,77,38,408,7897,3004,4296,597
,State Total,,6971406,20153,160,2573,1797,5819,11601,258662,58353,171910,28399
,,"Rate per 100,000 inhabitants",,289,2,37,26,84,166,3710,837,2466,407
WEST VIRGINIA4,Metropolitan Statistical Area,,1139033,,,,,,,,,,
,,Area actually reporting,1,,28,438,,513,2350,26541,6620,18624,1297
,,Estimated total,1,3578,29,465,325,549,2535,28758,7042,20327,1389
,Cities outside metropolitan areas,,190615,,,,,,,,,,
,,Area actually reporting,1,,5,44,,39,384,3272,661,2515,96
,,Estimated total,1,665,7,62,43,55,541,4609,931,3543,135
,Nonmetropolitan counties,,524656,,,,,,,,,,
,,Area actually reporting,1,,22,111,,41,994,4979,1500,3133,346
,,Estimated total,1,1325,25,126,88,47,1127,5646,1701,3553,392
,State Total,,1854304,5568,61,653,456,651,4203,39013,9674,27423,1916
,,"Rate per 100,000 inhabitants",,300,3,35,25,35,227,2104,522,1479,103
"WISCONSIN5,6",Metropolitan Statistical Area,,4236498,,,,,,,,,,
,,Area actually reporting,1,,143,,938,4706,7825,99613,19037,74026,6550
,,Estimated total,1,14019,143,1278,949,4725,7873,101016,19245,75179,6592
,Cities outside metropolitan areas,,633490,,,,,,,,,,
,,Area actually reporting,1,,8,,209,78,843,15510,2043,13132,335
,,Estimated total,1,1204,8,247,216,80,869,15991,2106,13540,345
,Nonmetropolitan counties,,872725,,,,,,,,,,
,,Area actually reporting,1,,11,,129,29,529,8574,2959,5170,445
,,Estimated total,1,738,11,162,131,29,536,8681,2996,5234,451
,State Total,,5742713,15961,162,1687,1296,4834,9278,125688,24347,93953,7388
,,"Rate per 100,000 inhabitants",,278,3,29,23,84,162,2189,424,1636,129
WYOMING,Metropolitan Statistical Area,,175628, ,,,,,, ,,,
,,Area actually reporting,1,376,4,40,31,30,302,4993,818,3948,227
,Cities outside metropolitan areas,,244239,,,,,,,,,,
,,Area actually reporting,1,,4,,80,42,452,6179,823,5102,254
,,Estimated total,1,619,4,107,82,43,465,6363,847,5254,262
,Nonmetropolitan counties,,162791,, ,,, ,,,,,
,,Area actually reporting,1,,8,,29,2,138,1346,269,995,82
,,Estimated total,1,200,9,40,31,2,149,1453,290,1074,89
,State Total,,582658,1195,17,187,144,75,916,12809,1955,10276,578
,,"Rate per 100,000 inhabitants",,205,3,32,25,13,157,2198,336,1764,99
"1  The violent crime figures include the offenses of murder, rape (revised definition), robbery, and aggravated assault.",,,,,,,,,,,,,
2  The figures shown in this column for the offense of rape were estimated using the revised Uniform Crime Reporting (UCR) definition of rape.  See data declaration for further explanation.,,,,,,,,,,,,,
3  The figures shown in this column for the offense of rape were estimated using the legacy UCR definition of rape.  See data declaration for further explanation.,,,,,,,,,,,,,
4  This state's agencies submitted rape data according to the revised UCR definition of rape.  ,,,,,,,,,,,,,
5  Agencies within this state submitted rape data according to both the revised UCR definition of rape and the legacy UCR definition of rape.  ,,,,,,,,,,,,,
"6  Because of changes in the state/local agency's reporting practices, figures are not comparable to previous years' data.",,,,,,,,,,,,,
7  Includes offenses reported by the Zoological Police and the Metro Transit Police.,,,,,,,,,,,,,
"NOTE:  Although arson data are included in the trend and clearance tables, sufficient data are not available to estimate totals for this offense.  Therefore, no arson data are published in this table.",,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
